"DIN","status","name","description","atc_number(s)","atc(s)"
"02413698","approved","DONEPEZIL HYDROCHLORIDE TABLETS USP","DONEPEZIL HYDROCHLORIDE TABLETS USP (DONEPEZIL HYDROCHLORIDE (DONEPEZIL HYDROCHLORIDE MONOHYDRATE) 10MG)","N06DA02","DONEPEZIL"
"02413817","approved","SANDOZ TRAVOPROST / TIMOLOL PQ","SANDOZ TRAVOPROST / TIMOLOL PQ (TIMOLOL (TIMOLOL MALEATE) 0.5%, TIMOLOL (TIMOLOL MALEATE) 0.5%, TRAVOPROST 0.004%, TRAVOPROST 0.004%)","S01ED51;S01ED51;S01E","TIMOLOL, COMBINATIONS;TIMOLOL, COMBINATIONS;TIMOLOL, COMBINATIONS;TIMOLOL, COMBINATIONS"
"02413825","marketed","TEVA-VALGANCICLOVIR","TEVA-VALGANCICLOVIR (VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE) 450MG)","J05AB14","VALGANCICLOVIR"
"02413876","approved","HEMOSATE ULTRA HS0125","HEMOSATE ULTRA HS0125 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 6.24G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02413892","marketed","HEMOSATE ULTRA HS1125","HEMOSATE ULTRA HS1125 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 6.24G, POTASSIUM CHLORIDE 3.35G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02413906","marketed","HEMOSATE ULTRA HS2125","HEMOSATE ULTRA HS2125 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 6.24G, POTASSIUM CHLORIDE 6.71G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02413914","marketed","HEMOSATE ULTRA HS3125","HEMOSATE ULTRA HS3125 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 6.24G, POTASSIUM CHLORIDE 10.1G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02413922","marketed","HEMOSATE ULTRA HS4125","HEMOSATE ULTRA HS4125 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 6.24G, POTASSIUM CHLORIDE 13.47G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02413930","approved","HEMOSATE ULTRA HS1150","HEMOSATE ULTRA HS1150 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 7.47G, POTASSIUM CHLORIDE 3.35G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02413957","marketed","HEMOSATE ULTRA HS2150","HEMOSATE ULTRA HS2150 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 7.47G, POTASSIUM CHLORIDE 6.71G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02413965","approved","HEMOSATE ULTRA HS3150","HEMOSATE ULTRA HS3150 (DEXTROSE 49.5G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 7.47G, POTASSIUM CHLORIDE 10.1G, SODIUM CHLORIDE 263G, CITRIC ACID 6.91G, SODIUM ACETATE 1.11G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02414287","approved","TARO-LATANOPROST","TARO-LATANOPROST (LATANOPROST 50MCG)","S01EE01","LATANOPROST"
"02414309","marketed","DUAL INTENSIVE ACNE TREATMENT","DUAL INTENSIVE ACNE TREATMENT (BENZOYL PEROXIDE 2.5%)","D10AE01","BENZOYL PEROXIDE"
"02414368","marketed","AURO-SILDENAFIL","AURO-SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 25MG)","G04BE03","SILDENAFIL"
"02414376","marketed","AURO-SILDENAFIL","AURO-SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 50MG)","G04BE03","SILDENAFIL"
"02414384","marketed","AURO-SILDENAFIL","AURO-SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 100MG)","G04BE03","SILDENAFIL"
"02414422","marketed","PROACTIV+ 3 PIECE SET","PROACTIV+ 3 PIECE SET (BENZOYL PEROXIDE 2.5%, BENZOYL PEROXIDE 2.5%)","D10AE01;D10AE01","BENZOYL PEROXIDE;BENZOYL PEROXIDE"
"02414457","approved","PREGABALIN","PREGABALIN (PREGABALIN 25MG)","N03AX16","PREGABALIN"
"02414465","approved","PREGABALIN","PREGABALIN (PREGABALIN 50MG)","N03AX16","PREGABALIN"
"02414473","approved","PREGABALIN","PREGABALIN (PREGABALIN 75MG)","N03AX16","PREGABALIN"
"02414481","approved","PREGABALIN","PREGABALIN (PREGABALIN 150MG)","N03AX16","PREGABALIN"
"02414503","approved","PREGABALIN","PREGABALIN (PREGABALIN 225MG)","N03AX16","PREGABALIN"
"02414511","approved","PREGABALIN","PREGABALIN (PREGABALIN 300MG)","N03AX16","PREGABALIN"
"02414635","approved","IRBESARTAN","IRBESARTAN (IRBESARTAN 75MG)","C09CA04","IRBESARTAN"
"02414643","approved","IRBESARTAN","IRBESARTAN (IRBESARTAN 150MG)","C09CA04","IRBESARTAN"
"02414651","approved","IRBESARTAN","IRBESARTAN (IRBESARTAN 300MG)","C09CA04","IRBESARTAN"
"02414767","approved","DOM-LANSOPRAZOLE","DOM-LANSOPRAZOLE (LANSOPRAZOLE 15MG)","A02BC03","LANSOPRAZOLE"
"02414813","marketed","SELECTBAG ONE (AX125G)","SELECTBAG ONE (AX125G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 36.8G, POTASSIUM CHLORIDE 14.9G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02414821","marketed","SELECTBAG ONE (AX150G)","SELECTBAG ONE (AX150G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 44.1G, POTASSIUM CHLORIDE 14.9G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02414848","marketed","SELECTBAG ONE (AX200G)","SELECTBAG ONE (AX200G) (DEXTROSE 220G, ACETIC ACID 36G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 29.4G, POTASSIUM CHLORIDE 29.8G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02414856","marketed","SELECTBAG ONE (AX225G)","SELECTBAG ONE (AX225G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 36.8G, POTASSIUM CHLORIDE 29.8G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02414902","marketed","SELECTBAG ONE (AX325G)","SELECTBAG ONE (AX325G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 36.8G, POTASSIUM CHLORIDE 44.7G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02415038","marketed","M.A.C PREP + PRIME FACE PROTECT LOTION SPF 50","M.A.C PREP + PRIME FACE PROTECT LOTION SPF 50 (OXYBENZONE 3.0%, AVOBENZONE 3.0%, HOMOSALATE 5.0%, OCTOCRYLENE 2.7%, OCTISALATE 5.0%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02415208","marketed","AURO-PANTOPRAZOLE","AURO-PANTOPRAZOLE (PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE) 40MG)","A02BC02","PANTOPRAZOLE"
"02415216","marketed","MEROPENEM FOR INJECTION, USP","MEROPENEM FOR INJECTION, USP (MEROPENEM 500MG)","J01DH02","MEROPENEM"
"02415232","approved","PANTOPRAZOLE","PANTOPRAZOLE (PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE) 20MG)","A02BC02","PANTOPRAZOLE"
"02415240","approved","PANTOPRAZOLE","PANTOPRAZOLE (PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE) 40MG)","A02BC02","PANTOPRAZOLE"
"02415259","approved","IPG-PANTOPRAZOLE","IPG-PANTOPRAZOLE (PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE) 20MG)","A02BC02","PANTOPRAZOLE"
"02415267","approved","IPG-PANTOPRAZOLE","IPG-PANTOPRAZOLE (PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE) 40MG)","A02BC02","PANTOPRAZOLE"
"02415283","approved","JAMP RABEPRAZOLE","JAMP RABEPRAZOLE (RABEPRAZOLE SODIUM 10MG)","A02BC04","RABEPRAZOLE"
"02415291","marketed","JAMP RABEPRAZOLE","JAMP RABEPRAZOLE (RABEPRAZOLE SODIUM 20MG)","A02BC04","RABEPRAZOLE"
"02415305","marketed","APO-TRAVOPROST-TIMOP PQ","APO-TRAVOPROST-TIMOP PQ (TIMOLOL (TIMOLOL MALEATE) 0.5%, TIMOLOL (TIMOLOL MALEATE) 0.5%, TRAVOPROST 0.004%, TRAVOPROST 0.004%)","S01ED51;S01ED51;S01E","TIMOLOL, COMBINATIONS;TIMOLOL, COMBINATIONS;TIMOLOL, COMBINATIONS;TIMOLOL, COMBINATIONS"
"02415321","marketed","SPF 30 FPS SUNSCREEN LOTION LOTION Ã CRAN SOLAIRE","SPF 30 FPS SUNSCREEN LOTION LOTION Ã CRAN SOLAIRE (AVOBENZONE 3%, HOMOSALATE 10%, OCTOCRYLENE 10%, OCTISALATE 5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02415429","marketed","TEVA-TRANDOLAPRIL","TEVA-TRANDOLAPRIL (TRANDOLAPRIL 0.5MG)","C09AA10","TRANDOLAPRIL"
"02415437","marketed","TEVA-TRANDOLAPRIL","TEVA-TRANDOLAPRIL (TRANDOLAPRIL 1MG)","C09AA10","TRANDOLAPRIL"
"02415445","marketed","TEVA-TRANDOLAPRIL","TEVA-TRANDOLAPRIL (TRANDOLAPRIL 2MG)","C09AA10","TRANDOLAPRIL"
"02415453","marketed","TEVA-TRANDOLAPRIL","TEVA-TRANDOLAPRIL (TRANDOLAPRIL 4MG)","C09AA10","TRANDOLAPRIL"
"02415461","marketed","SELECTBAG ONE (AX250G)","SELECTBAG ONE (AX250G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 44.1G, POTASSIUM CHLORIDE 29.8G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02415488","marketed","SELECTBAG ONE (AX450G)","SELECTBAG ONE (AX450G) (DEXTROSE 220G, ACETIC ACID 36G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 44.1G, POTASSIUM CHLORIDE 59.6G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02415496","marketed","SELECTBAG ONE (AX2525G)","SELECTBAG ONE (AX2525G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 36.8G, POTASSIUM CHLORIDE 37.3G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02415518","approved","SELECTBAG ONE (AX2550G)","SELECTBAG ONE (AX2550G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 44.1G, POTASSIUM CHLORIDE 37.3G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02415526","marketed","SELECTBAG ONE (AX350G)","SELECTBAG ONE (AX350G) (DEXTROSE 220.0G, ACETIC ACID 36.0G, MAGNESIUM CHLORIDE 20.3G, CALCIUM CHLORIDE 44.1G, POTASSIUM CHLORIDE 44.7G)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
"02415623","marketed","ADVIL ARTHRITIS PAIN","ADVIL ARTHRITIS PAIN (IBUPROFEN 400MG)","M01AE01","IBUPROFEN"
"02415771","approved","ALLERGY CONTROL DESLORATADINE","ALLERGY CONTROL DESLORATADINE (DESLORATADINE 5MG)","R06AX27","DESLORATADINE"
"02415844","marketed","TEVA-FROVATRIPTAN","TEVA-FROVATRIPTAN (FROVATRIPTAN (FROVATRIPTAN SUCCINATE) 2.5MG)","N02CC07","FROVATRIPTAN"
"02416042","approved","CACITRIX","CACITRIX (ZINC OXIDE 16%, LIDOCAINE 2%)","D04AB01;D04AB01","LIDOCAINE;LIDOCAINE"
"02416069","approved","FLUDARABINE PHOSPHATE INJECTION","FLUDARABINE PHOSPHATE INJECTION (FLUDARABINE PHOSPHATE 25MG)","L01BB05","FLUDARABINE"
"02416131","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 25MG)","N03AX16","PREGABALIN"
"02416158","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 50MG)","N03AX16","PREGABALIN"
"02416166","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 75MG)","N03AX16","PREGABALIN"
"02416174","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 100MG)","N03AX16","PREGABALIN"
"02416182","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 150MG)","N03AX16","PREGABALIN"
"02416190","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 200MG)","N03AX16","PREGABALIN"
"02416204","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 225MG)","N03AX16","PREGABALIN"
"02416212","approved","IPG-PREGABALIN","IPG-PREGABALIN (PREGABALIN 300MG)","N03AX16","PREGABALIN"
"02416220","approved","IPG-CANDESARTAN","IPG-CANDESARTAN (CANDESARTAN CILEXETIL 16MG)","C09CA06","CANDESARTAN"
"02416247","approved","IPG-CANDESARTAN","IPG-CANDESARTAN (CANDESARTAN CILEXETIL 32MG)","C09CA06","CANDESARTAN"
"02416301","marketed","PMS-NIFEDIPINE ER","PMS-NIFEDIPINE ER (NIFEDIPINE 60MG)","C08CA05","NIFEDIPINE"
"02416468","marketed","HELIOX 70/30","HELIOX 70/30 (OXYGEN 30%, HELIUM 70%)","V03AN20;V03AN20","COMBINATION;COMBINATION"
"02416492","approved","NIKKI","NIKKI (ETHINYL ESTRADIOL 0.02MG, DROSPIRENONE 3.0MG)","G03AA12;G03AA12","DROSPIRENONE AND ESTROGEN;DROSPIRENONE AND ESTROGEN"
"02416506","approved","QISMETTE 21","QISMETTE 21 (ETHINYL ESTRADIOL 0.030MG, DROSPIRENONE 3.0MG)","G03AA12;G03AA12","DROSPIRENONE AND ESTROGEN;DROSPIRENONE AND ESTROGEN"
"02416514","approved","QISMETTE 28","QISMETTE 28 (ETHINYL ESTRADIOL 0.030MG, DROSPIRENONE 3.0MG)","G03AA12;G03AA12","DROSPIRENONE AND ESTROGEN;DROSPIRENONE AND ESTROGEN"
"02416557","approved","MAR-PANTOPRAZOLE","MAR-PANTOPRAZOLE (PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE) 20MG)","A02BC02","PANTOPRAZOLE"
"02416662","marketed","TEVA-ABACAVIR/LAMIVUDINE","TEVA-ABACAVIR/LAMIVUDINE (LAMIVUDINE 300MG, ABACAVIR (ABACAVIR SULFATE) 600MG)","J05AR02;J05AR02","LAMIVUDINE AND ABACAVIR;LAMIVUDINE AND ABACAVIR"
"02416670","approved","LIGHT MOISTURIZING ANTIBACTERIAL HAND SOAP","LIGHT MOISTURIZING ANTIBACTERIAL HAND SOAP (BENZALKONIUM CHLORIDE 0.13%)","D08AJ01","BENZALKONIUM"
"02416689","approved","PREGABALIN","PREGABALIN (PREGABALIN 25MG)","N03AX16","PREGABALIN"
"02416697","approved","PREGABALIN","PREGABALIN (PREGABALIN 50MG)","N03AX16","PREGABALIN"
"02416700","approved","PREGABALIN","PREGABALIN (PREGABALIN 75MG)","N03AX16","PREGABALIN"
"02416719","approved","PREGABALIN","PREGABALIN (PREGABALIN 100MG)","N03AX16","PREGABALIN"
"02416727","approved","PREGABALIN","PREGABALIN (PREGABALIN 150MG)","N03AX16","PREGABALIN"
"02416735","approved","PREGABALIN","PREGABALIN (PREGABALIN 200MG)","N03AX16","PREGABALIN"
"02416743","approved","PREGABALIN","PREGABALIN (PREGABALIN 225MG)","N03AX16","PREGABALIN"
"02416751","approved","PREGABALIN","PREGABALIN (PREGABALIN 300MG)","N03AX16","PREGABALIN"
"02416786","marketed","JANUMET XR","JANUMET XR (METFORMIN HYDROCHLORIDE 500MG, METFORMIN HYDROCHLORIDE 500MG, SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE) 50MG, SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE) 50MG)","A10BD07;A10BD07;A10B","METFORMIN AND SITAGLIPTIN;METFORMIN AND SITAGLIPTIN;METFORMIN AND SITAGLIPTIN;METFORMIN AND SITAGLIPTIN"
"02416808","marketed","JANUMET XR","JANUMET XR (METFORMIN HYDROCHLORIDE 1000MG, METFORMIN HYDROCHLORIDE 1000MG, SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE) 100MG, SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE) 100MG)","A10BD07;A10BD07;A10B","METFORMIN AND SITAGLIPTIN;METFORMIN AND SITAGLIPTIN;METFORMIN AND SITAGLIPTIN;METFORMIN AND SITAGLIPTIN"
"02416816","marketed","SANDOZ TACROLIMUS","SANDOZ TACROLIMUS (TACROLIMUS (TACROLIMUS MONOHYDRATE) 0.5MG)","L04AD02","TACROLIMUS"
"02416905","marketed","NEUTROGENA MOISTURE OIL-FREE SPF 15","NEUTROGENA MOISTURE OIL-FREE SPF 15 (OXYBENZONE 4%, AVOBENZONE 1.5%, OCTOCRYLENE 3%, OCTISALATE 5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02416913","marketed","NEUTROGENA HEALTHY SKIN ANTI-WRINKLE CREAM SPF 15","NEUTROGENA HEALTHY SKIN ANTI-WRINKLE CREAM SPF 15 (OXYBENZONE 4%, AVOBENZONE 1.5%, OCTOCRYLENE 3%, OCTISALATE 5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02416972","marketed","NIVEA SUN","NIVEA SUN (OXYBENZONE 5.40%, AVOBENZONE 2.85%, OCTOCRYLENE 2.00%, OCTISALATE 4.50%, OCTINOXATE 6.75%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02417103","marketed","NIASTASE RT","NIASTASE RT (EPTACOG ALFA (ACTIVATED) 1MG)","B02BD08","COAGULATION FACTOR VIIa"
"02417111","marketed","NIASTASE RT","NIASTASE RT (EPTACOG ALFA (ACTIVATED) 2MG)","B02BD08","COAGULATION FACTOR VIIa"
"02417138","marketed","NIASTASE RT","NIASTASE RT (EPTACOG ALFA (ACTIVATED) 5MG)","B02BD08","COAGULATION FACTOR VIIa"
"02417146","approved","NIASTASE RT","NIASTASE RT (EPTACOG ALFA (ACTIVATED) 8MG)","B02BD08","COAGULATION FACTOR VIIa"
"02417170","marketed","CONSTELLA","CONSTELLA (LINACLOTIDE 290MCG)","A06AX04","LINACLOTIDE"
"02417243","marketed","JAMP OLANZAPINE FC","JAMP OLANZAPINE FC (OLANZAPINE 2.5MG)","N05AH03","OLANZAPINE"
"02417251","marketed","JAMP OLANZAPINE FC","JAMP OLANZAPINE FC (OLANZAPINE 5MG)","N05AH03","OLANZAPINE"
"02417278","marketed","JAMP OLANZAPINE FC","JAMP OLANZAPINE FC (OLANZAPINE 7.5MG)","N05AH03","OLANZAPINE"
"02417286","marketed","JAMP OLANZAPINE FC","JAMP OLANZAPINE FC (OLANZAPINE 10MG)","N05AH03","OLANZAPINE"
"02417294","marketed","JAMP OLANZAPINE FC","JAMP OLANZAPINE FC (OLANZAPINE 15MG)","N05AH03","OLANZAPINE"
"02417308","marketed","JAMP OLANZAPINE FC","JAMP OLANZAPINE FC (OLANZAPINE 20MG)","N05AH03","OLANZAPINE"
"02417413","marketed","BISACODYL TABLETS","BISACODYL TABLETS (BISACODYL 5MG)","A06AB02","BISACODYL"
"02417421","approved","MINT-PANTOPRAZOLE","MINT-PANTOPRAZOLE (PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE) 20MG)","A02BC02","PANTOPRAZOLE"
"02417480","approved","ESOMEPRAZOLE","ESOMEPRAZOLE (ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE) 20MG)","A02BC05","ESOMEPRAZOLE"
"02417499","approved","ESOMEPRAZOLE","ESOMEPRAZOLE (ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE) 40MG)","A02BC05","ESOMEPRAZOLE"
"02417510","marketed","NASACORT ALLERGY 24HR","NASACORT ALLERGY 24HR (TRIAMCINOLONE ACETONIDE 55MCG)","R01AD11","TRIAMCINOLONE"
"02417529","marketed","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 25MG)","N03AX16","PREGABALIN"
"02417537","marketed","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 50MG)","N03AX16","PREGABALIN"
"02417545","marketed","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 75MG)","N03AX16","PREGABALIN"
"02417553","approved","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 100MG)","N03AX16","PREGABALIN"
"02417561","marketed","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 150MG)","N03AX16","PREGABALIN"
"02417588","approved","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 200MG)","N03AX16","PREGABALIN"
"02417596","approved","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 225MG)","N03AX16","PREGABALIN"
"02417618","approved","MAR-PREGABALIN","MAR-PREGABALIN (PREGABALIN 300MG)","N03AX16","PREGABALIN"
"02417723","marketed","PMS-SOLIFENACIN","PMS-SOLIFENACIN (SOLIFENACIN SUCCINATE 5MG)","G04BD08","SOLIFENACIN"
"02417731","marketed","PMS-SOLIFENACIN","PMS-SOLIFENACIN (SOLIFENACIN SUCCINATE 10MG)","G04BD08","SOLIFENACIN"
"02417839","marketed","NAT-ONDANSETRON","NAT-ONDANSETRON (ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE) 4MG)","A04AA01","ONDANSETRON"
"02417847","marketed","NAT-ONDANSETRON","NAT-ONDANSETRON (ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE) 8MG)","A04AA01","ONDANSETRON"
"02417855","marketed","NAT-ANASTROZOLE","NAT-ANASTROZOLE (ANASTROZOLE 1MG)","L02BG03","ANASTROZOLE"
"02417863","approved","DOCUSATE SODIUM","DOCUSATE SODIUM (DOCUSATE SODIUM 100MG)","A06AA02","DOCUSATE SODIUM"
"02418045","approved","M.A.C PREP + PRIME BB BEAUTY BALM SPF 50","M.A.C PREP + PRIME BB BEAUTY BALM SPF 50 (OXYBENZONE 3.0%, AVOBENZONE 3.0%, HOMOSALATE 5.0%, OCTOCRYLENE 2.7%, OCTISALATE 5.0%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02418347","marketed","DIABETICS' DRY SKIN RELIEF FOOT CREAM","DIABETICS' DRY SKIN RELIEF FOOT CREAM (WHITE PETROLATUM 30%)","D02AC","SOFT PARAFFIN AND FAT PRODUCTS"
