"DIN","status","name","new name","description","new description","atc_number(s)","atc(s)","indicator(s)"
"02221810","marketed","LOPROX LOTION","LOPROX","LOPROX LOTION (CICLOPIROX OLAMINE 1%)","LOPROX (CICLOPIROX OLAMINE 1%)","D01AE14","CICLOPIROX",""
"02221829","marketed","ALTACE","","ALTACE (RAMIPRIL 1.25MG)","","C09AA05","RAMIPRIL","Hypertension;Ischemic Heart disease"
"02221837","marketed","ALTACE","","ALTACE (RAMIPRIL 2.5MG)","","C09AA05","RAMIPRIL","Hypertension;Ischemic Heart disease"
"02221845","marketed","ALTACE","","ALTACE (RAMIPRIL 5MG)","","C09AA05","RAMIPRIL","Hypertension;Ischemic Heart disease"
"02221853","marketed","ALTACE","","ALTACE (RAMIPRIL 10MG)","","C09AA05","RAMIPRIL","Hypertension;Ischemic Heart disease"
"02221861","marketed","ANANDRON","","ANANDRON (NILUTAMIDE 50MG)","","L02BB02","NILUTAMIDE",""
"02221896","marketed","TOPICORT","","TOPICORT (DESOXIMETASONE 0.25%)","","D07AC03","DESOXIMETASONE",""
"02221918","marketed","TOPICORT MILD","TOPICORT","TOPICORT MILD (DESOXIMETASONE 0.05%)","TOPICORT (DESOXIMETASONE 0.05%)","D07AC03","DESOXIMETASONE",""
"02221926","marketed","TOPICORT GEL","TOPICORT","TOPICORT GEL (DESOXIMETASONE 0.05%)","TOPICORT (DESOXIMETASONE 0.05%)","D07AC03","DESOXIMETASONE",""
"02221934","marketed","TOPICORT OINTMENT","TOPICORT","TOPICORT OINTMENT (DESOXIMETASONE 0.25%)","TOPICORT (DESOXIMETASONE 0.25%)","D07AC03","DESOXIMETASONE",""
"02221977","cancelled","TRENTAL","","TRENTAL (PENTOXIFYLLINE 400MG)","","C04AD03","PENTOXIFYLLINE",""
"02221985","cancelled","RENEDIL","","RENEDIL (FELODIPINE 2.5MG)","","C08CA02","FELODIPINE","Hypertension;Ischemic Heart disease"
"02221993","cancelled","RENEDIL","","RENEDIL (FELODIPINE 5MG)","","C08CA02","FELODIPINE","Hypertension;Ischemic Heart disease"
"02222000","cancelled","RENEDIL","","RENEDIL (FELODIPINE 10MG)","","C08CA02","FELODIPINE","Hypertension;Ischemic Heart disease"
"02222051","cancelled","PRAVACHOL - TAB 40MG","PRAVACHOL","PRAVACHOL - TAB 40MG (PRAVASTATIN SODIUM 40MG)","PRAVACHOL (PRAVASTATIN SODIUM 40MG)","C10AA03","PRAVASTATIN","Ischemic Heart disease"
"02222132","cancelled","RUB A535 REGULAR STRENGTH NO ODOUR CREAM","REGULAR STRENGTH NO ODOUR CREAM","RUB A535 REGULAR STRENGTH NO ODOUR CREAM (TROLAMINE SALICYLATE 13.3%)","REGULAR STRENGTH NO ODOUR CREAM (TROLAMINE SALICYLATE 13.3%)","M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES",""
"02222957","cancelled","APO-DILTIAZ SR - SRC 60MG","APO-DILTIAZ SR","APO-DILTIAZ SR - SRC 60MG (DILTIAZEM HYDROCHLORIDE 60MG)","APO-DILTIAZ SR (DILTIAZEM HYDROCHLORIDE 60MG)","C08DB01","DILTIAZEM","Hypertension;Ischemic Heart disease"
"02222965","cancelled","APO-DILTIAZ SR - 90MG/SRC","APO-DILTIAZ SR","APO-DILTIAZ SR - 90MG/SRC (DILTIAZEM HYDROCHLORIDE 90MG)","APO-DILTIAZ SR (DILTIAZEM HYDROCHLORIDE 90MG)","C08DB01","DILTIAZEM","Hypertension;Ischemic Heart disease"
"02222973","cancelled","APO-DILTIAZ SR - SRC 120MG","APO-DILTIAZ SR","APO-DILTIAZ SR - SRC 120MG (DILTIAZEM HYDROCHLORIDE 120MG)","APO-DILTIAZ SR (DILTIAZEM HYDROCHLORIDE 120MG)","C08DB01","DILTIAZEM","Hypertension;Ischemic Heart disease"
"02223139","approved","NU-NORTRIPTYLINE - CAP 10MG","NORTRIPTYLINE","NU-NORTRIPTYLINE - CAP 10MG (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 10MG)","NORTRIPTYLINE (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 10MG)","N06AA10","NORTRIPTYLINE","Depression"
"02223147","approved","NU-NORTRIPTYLINE - CAP 25MG","NORTRIPTYLINE","NU-NORTRIPTYLINE - CAP 25MG (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 25MG)","NORTRIPTYLINE (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 25MG)","N06AA10","NORTRIPTYLINE","Depression"
"02223163","marketed","BUSPIRONE-10 - TAB 10MG","BUSPIRONE-10","BUSPIRONE-10 - TAB 10MG (BUSPIRONE HYDROCHLORIDE 10MG)","BUSPIRONE-10 (BUSPIRONE HYDROCHLORIDE 10MG)","N05BE01","BUSPIRONE",""
"02223252","marketed","PROCTOSEDYL OINTMENT","PROCTOSEDYL","PROCTOSEDYL OINTMENT (DIBUCAINE HYDROCHLORIDE 5MG, ESCULIN 10MG, FRAMYCETIN SULFATE 10MG, HYDROCORTISONE 5MG)","PROCTOSEDYL (DIBUCAINE HYDROCHLORIDE 0.5%, HYDROCORTISONE 0.5%, FRAMYCETIN SULFATE 1%, ESCULIN 1%)","C05AA01;C05AA01;C05A","HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE",""
"02223260","cancelled","PROCTOSEDYL SUPPOSITORIES","PROCTOSEDYL","PROCTOSEDYL SUPPOSITORIES (DIBUCAINE HYDROCHLORIDE 5MG, ESCULIN 10MG, FRAMYCETIN SULFATE 10MG, HYDROCORTISONE 5MG)","PROCTOSEDYL (DIBUCAINE HYDROCHLORIDE 5MG, HYDROCORTISONE 5MG, FRAMYCETIN SULFATE 10MG, ESCULIN 10MG)","C05AA01;C05AA01;C05A","HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE",""
"02223325","cancelled","NOVO-DESIPRAMINE SC - TAB 25MG","","NOVO-DESIPRAMINE SC - TAB 25MG (DESIPRAMINE HYDROCHLORIDE 25MG)","","N06AA01","DESIPRAMINE","Depression"
"02223333","cancelled","NOVO-DESIPRAMINE FC - 50MG TAB","","NOVO-DESIPRAMINE FC - 50MG TAB (DESIPRAMINE HYDROCHLORIDE 50MG)","","N06AA01","DESIPRAMINE","Depression"
"02223341","cancelled","NOVO-DESIPRAMINE SC - TAB 10MG","","NOVO-DESIPRAMINE SC - TAB 10MG (DESIPRAMINE HYDROCHLORIDE 10MG)","","N06AA01","DESIPRAMINE","Depression"
"02223368","cancelled","NOVO-DESIPRAMINE SC -TAB 75MG","","NOVO-DESIPRAMINE SC -TAB 75MG (DESIPRAMINE HYDROCHLORIDE 75MG)","","N06AA01","DESIPRAMINE","Depression"
"02223376","marketed","PMS-OXYBUTYNIN","","PMS-OXYBUTYNIN (OXYBUTYNIN CHLORIDE 1MG)","PMS-OXYBUTYNIN (OXYBUTYNIN CHLORIDE 5MG)","G04BD04","OXYBUTYNIN",""
"02223406","cancelled","INTRON A","","INTRON A (INTERFERON ALFA-2B 10000000UNIT, WATER 1ML)","INTRON A (INTERFERON ALFA-2B 10000000UNIT, INTERFERON ALFA-2B 10000000UNIT, WATER 1ML, WATER 1ML)","L03AB05;L03AB05;L03A","INTERFERON ALFA-2B;INTERFERON ALFA-2B;INTERFERON ALFA-2B;INTERFERON ALFA-2B",""
"02223481","cancelled","PHL-FLUOXETINE - CAP 10MG","","PHL-FLUOXETINE - CAP 10MG (FLUOXETINE (FLUOXETINE HYDROCHLORIDE) 10MG)","","N06AB03","FLUOXETINE","Depression"
"02223503","cancelled","PHL-FLUOXETINE - CAP 20MG","","PHL-FLUOXETINE - CAP 20MG (FLUOXETINE (FLUOXETINE HYDROCHLORIDE) 20MG)","","N06AB03","FLUOXETINE","Depression"
"02223511","dormant","APO-NORTRIPTYLINE - CAP 10MG","","APO-NORTRIPTYLINE - CAP 10MG (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 10MG)","","N06AA10","NORTRIPTYLINE","Depression"
"02223538","dormant","APO-NORTRIPTYLINE - CAP 25MG","","APO-NORTRIPTYLINE - CAP 25MG (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 25MG)","","N06AA10","NORTRIPTYLINE","Depression"
"02223546","marketed","REACTINE","","REACTINE (CETIRIZINE HYDROCHLORIDE 5MG)","","R06AE07","CETIRIZINE",""
"02223554","marketed","REACTINE","","REACTINE (CETIRIZINE HYDROCHLORIDE 10MG)","","R06AE07","CETIRIZINE",""
"02223562","marketed","PMS-METFORMIN - TAB 500MG","","PMS-METFORMIN - TAB 500MG (METFORMIN HYDROCHLORIDE 500MG)","","A10BA02","METFORMIN","Diabetes"
"02223570","approved","NU-TEMAZEPAM","TEMAZEPAM","NU-TEMAZEPAM (TEMAZEPAM 15MG)","TEMAZEPAM (TEMAZEPAM 15MG)","N05CD07","TEMAZEPAM",""
"02223589","approved","NU-TEMAZEPAM","TEMAZEPAM","NU-TEMAZEPAM (TEMAZEPAM 30MG)","TEMAZEPAM (TEMAZEPAM 30MG)","N05CD07","TEMAZEPAM",""
"02223597","cancelled","NU-INDAPAMIDE - TAB 2.5MG","","NU-INDAPAMIDE - TAB 2.5MG (INDAPAMIDE 2.5MG)","","C03BA11","INDAPAMIDE","Hypertension;Ischemic Heart disease"
"02223600","approved","NU-FENOFIBRATE","FENOFIBRATE","NU-FENOFIBRATE (FENOFIBRATE 100MG)","FENOFIBRATE (FENOFIBRATE 100MG)","C10AB05","FENOFIBRATE","Ischemic Heart disease"
"02223678","marketed","APO-INDAPAMIDE 2.5MG TABLETS","","APO-INDAPAMIDE 2.5MG TABLETS (INDAPAMIDE 2.5MG)","","C03BA11","INDAPAMIDE","Hypertension;Ischemic Heart disease"
"02223694","marketed","ALBUMIN (HUMAN) 5% SOLUTION, USP","","ALBUMIN (HUMAN) 5% SOLUTION, USP (ALBUMIN (HUMAN) 5%)","","B05AA01","ALBUMIN",""
"02223708","marketed","ALBUMIN (HUMAN) 25% SOLUTION USP","","ALBUMIN (HUMAN) 25% SOLUTION USP (ALBUMIN (HUMAN) 25%)","","B05AA01","ALBUMIN",""
"02223716","marketed","ZITHROMAX - PWS ORL 100MG/5ML","","ZITHROMAX - PWS ORL 100MG/5ML (AZITHROMYCIN 100MG)","","J01FA10","AZITHROMYCIN",""
"02223724","marketed","ZITHROMAX - PWS ORL 200MG/5ML","ZITHROMAX","ZITHROMAX - PWS ORL 200MG/5ML (AZITHROMYCIN 200MG)","ZITHROMAX (AZITHROMYCIN 200MG)","J01FA10","AZITHROMYCIN",""
"02223732","dormant","DILUENT FOR ALLERGENIC EXTRACT STERILE ALBUMIN SALINE WITH PHENOL","","DILUENT FOR ALLERGENIC EXTRACT STERILE ALBUMIN SALINE WITH PHENOL (ALBUMIN (HUMAN) 0.03%)","","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"02223740","cancelled","NORPROLAC","","NORPROLAC (QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE) 0.025MG)","","G02CB04","QUINAGOLIDE",""
"02223759","cancelled","NORPROLAC","","NORPROLAC (QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE) 0.05MG)","","G02CB04","QUINAGOLIDE",""
"02223767","cancelled","NORPROLAC","","NORPROLAC (QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE) 0.075MG)","","G02CB04","QUINAGOLIDE",""
"02223775","cancelled","NORPROLAC","","NORPROLAC (QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE) 0.15MG)","","G02CB04","QUINAGOLIDE",""
"02223929","cancelled","VAXIGRIP","","VAXIGRIP (HAEMAGGLUTININ-STRAIN B 15μG, HAEMAGGLUTININ-STRAIN A(H3N2) 15μG, HAEMAGGLUTININ-STRAIN A(H1N1) 15μG)","VAXIGRIP (HAEMAGGLUTININ-STRAIN B 15MCG, HAEMAGGLUTININ-STRAIN A (H3N2) 15MCG, HAEMAGGLUTININ-STRAIN A (H1N1) 15MCG)","J07BB02;J07BB02;J07B","INFLUENZA, INACTIVATED, SPLIT VIRUS OR SURFACE ANTIGEN;INFLUENZA, INACTIVATED, SPLIT VIRUS OR SURFACE ANTIGEN;INFLUENZA,",""
"02223937","dormant","ALLERGENIC EXTRACT STANDARDIZED MITE DP (10,000 AU/ML)","","ALLERGENIC EXTRACT STANDARDIZED MITE DP (10,000 AU/ML) (DERMATOPHAGOIDES PTERONYSSINUS 10000UNIT)","","V01AA03","HOUSE DUST MITES",""
"02223945","dormant","ALLERGENIC EXTRACT STANDARDIZED MITE DP (30,000 AU/ML)","","ALLERGENIC EXTRACT STANDARDIZED MITE DP (30,000 AU/ML) (DERMATOPHAGOIDES PTERONYSSINUS 30000UNIT)","","V01AA03","HOUSE DUST MITES",""
"02223953","dormant","ALLERGENIC EXTRACT STANDARDIZED MITE DF (10,000 AU/ML)","","ALLERGENIC EXTRACT STANDARDIZED MITE DF (10,000 AU/ML) (DERMATOPHAGOIDES FARINAE 10000UNIT)","","V01AA03","HOUSE DUST MITES",""
"02223961","dormant","ALLERGENIC EXTRACT STANDARDIZED MITE DF (30,000 AU/ML)","","ALLERGENIC EXTRACT STANDARDIZED MITE DF (30,000 AU/ML) (DERMATOPHAGOIDES FARINAE 30000UNIT)","","V01AA03","HOUSE DUST MITES",""
"02223988","dormant","ALLERGENIC EXTRACT MIXTURE OF STANDARDIZED MITES (15,000 AU/ML)","","ALLERGENIC EXTRACT MIXTURE OF STANDARDIZED MITES (15,000 AU/ML) (DERMATOPHAGOIDES FARINAE 15000UNIT, DERMATOPHAGOIDES PTERONYSSINUS 15000UNIT)","","V01AA03;V01AA03","HOUSE DUST MITES;HOUSE DUST MITES",""
"02223996","dormant","ALLERGENIC EXTRACT MIXTURE OF STANDARDIZED MITES (5,000 AU/ML)","","ALLERGENIC EXTRACT MIXTURE OF STANDARDIZED MITES (5,000 AU/ML) (DERMATOPHAGOIDES FARINAE 5000UNIT, DERMATOPHAGOIDES PTERONYSSINUS 5000UNIT)","","V01AA03;V01AA03","HOUSE DUST MITES;HOUSE DUST MITES",""
"02224100","cancelled","DOM-CLONAZEPAM-R - TAB 0.5MG","","DOM-CLONAZEPAM-R - TAB 0.5MG (CLONAZEPAM .5MG)","DOM-CLONAZEPAM-R - TAB 0.5MG (CLONAZEPAM 0.5MG)","N03AE01","CLONAZEPAM",""
"02224119","cancelled","DICLOFENAC-SR","","DICLOFENAC-SR (DICLOFENAC SODIUM 75MG)","","M01AB05","DICLOFENAC",""
"02224127","cancelled","DICLOFENAC-SR","","DICLOFENAC-SR (DICLOFENAC SODIUM 100MG)","","M01AB05","DICLOFENAC",""
"02224135","marketed","ARIMIDEX TAB 1MG","ARIMIDEX","ARIMIDEX TAB 1MG (ANASTROZOLE 1MG)","ARIMIDEX (ANASTROZOLE 1MG)","L02BG03","ANASTROZOLE",""
"02224143","cancelled","TRIPACEL HYBRID","","TRIPACEL HYBRID (TETANUS TOXOID 5LF, DIPHTHERIA TOXOID 15LF, PERTACTIN 3μG, FIMBRIAE 5μG, FILAMENTOUS HAEMAGGLUTININ 20μG, PERTUSSIS TOXOID 20μG)","TRIPACEL HYBRID (PERTACTIN 3MCG, FIMBRIAE 5MCG, FILAMENTOUS HAEMAGGLUTININ 20MCG, PERTUSSIS TOXOID 20MCG, TETANUS TOXOID 5LF, DIPHTHERIA TOXOID 15LF)","J07AJ52;J07AJ52;J07A","PERTUSSIS, PURIFIED ANTIGEN, COMB. WITH TOXOIDS;PERTUSSIS, PURIFIED ANTIGEN, COMB. WITH TOXOIDS;PERTUSSIS, PURIFIED ANTI",""
"02224550","cancelled","DIABETA","","DIABETA (GLYBURIDE 2.5MG)","","A10BB01","GLIBENCLAMIDE","Diabetes"
"02224569","cancelled","DIABETA","","DIABETA (GLYBURIDE 5MG)","","A10BB01","GLIBENCLAMIDE","Diabetes"
"02224577","dormant","COPHYLAC DROPS","COPHYLAC","COPHYLAC DROPS (NORMETHADONE HYDROCHLORIDE 10MG, P-HYDROXYEPHEDRINE HYDROCHLORIDE 20MG)","COPHYLAC (NORMETHADONE HYDROCHLORIDE 10MG, P-HYDROXYEPHEDRINE HYDROCHLORIDE 20MG)","R05DA20;R05DA20","COMBINATIONS;COMBINATIONS",""
"02224615","dormant","RELEFACT TRH INJECTION 200MCG/ML","","RELEFACT TRH INJECTION 200MCG/ML (PROTIRELIN 200μG)","RELEFACT TRH INJECTION 200MCG/ML (PROTIRELIN 200MCG)","V04CJ02","PROTIRELIN",""
"02224623","marketed","SOFRACORT STERILE EAR/EYE DROPS","SOFRACORT","SOFRACORT STERILE EAR/EYE DROPS (DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE) 0.5MG, FRAMYCETIN SULFATE 5MG, GRAMICIDIN 0.05MG)","SOFRACORT (DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE) 0.5MG, DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE) 0.5MG, GRAMICIDIN 0.05MG, GRAMICIDIN 0.05MG, FRAMYCETIN SULFATE 5MG, FRAMYCETIN SULFATE 5MG)","S03CA01;S03CA01;S03C","DEXAMETHASONE AND ANTIINFECTIVES;DEXAMETHASONE AND ANTIINFECTIVES;DEXAMETHASONE AND ANTIINFECTIVES;DEXAMETHASONE AND ANT",""
"02224690","cancelled","LASIX","","LASIX (FUROSEMIDE 20MG)","","C03CA01","FUROSEMIDE",""
"02224704","cancelled","LASIX","","LASIX (FUROSEMIDE 40MG)","","C03CA01","FUROSEMIDE",""
"02224720","marketed","LASIX ORAL SOLUTION 10MG/ML","LASIX ORAL SOLUTION","LASIX ORAL SOLUTION 10MG/ML (FUROSEMIDE 10MG)","LASIX ORAL SOLUTION (FUROSEMIDE 10MG)","C03CA01","FUROSEMIDE",""
"02224755","marketed","LASIX SPECIAL","","LASIX SPECIAL (FUROSEMIDE 500MG)","","C03CA01","FUROSEMIDE",""
"02224801","marketed","RYTHMODAN","","RYTHMODAN (DISOPYRAMIDE 100MG)","","C01BA03","DISOPYRAMIDE",""
"02224828","cancelled","RYTHMODAN","","RYTHMODAN (DISOPYRAMIDE 150MG)","","C01BA03","DISOPYRAMIDE",""
"02224860","marketed","SOFRAMYCIN NASAL SPRAY","","SOFRAMYCIN NASAL SPRAY (FRAMYCETIN SULFATE 12.5MG, GRAMICIDIN 0.05MG, PHENYLEPHRINE HYDROCHLORIDE 2.5MG)","SOFRAMYCIN NASAL SPRAY (GRAMICIDIN 0.05MG, FRAMYCETIN SULFATE 12.5MG, PHENYLEPHRINE HYDROCHLORIDE 2.5MG)","R01AB01;R01AB01;R01A","PHENYLEPHRINE;PHENYLEPHRINE;PHENYLEPHRINE",""
"02224879","dormant","SOFRAMYCIN SKIN OINTMENT","","SOFRAMYCIN SKIN OINTMENT (FRAMYCETIN SULFATE 15MG, GRAMICIDIN 50μG)","SOFRAMYCIN SKIN OINTMENT (GRAMICIDIN 50MCG, FRAMYCETIN SULFATE 15MG)","D06AX30;D06AX30","COMBINATIONS OF ANTIBIOTICS;COMBINATIONS OF ANTIBIOTICS",""
"02224887","dormant","SOFRAMYCIN EYE DROPS 0.5%","","SOFRAMYCIN EYE DROPS 0.5% (FRAMYCETIN SULFATE 5MG)","","S01AA07","FRAMYCETIN",""
"02224895","dormant","SOFRAMYCIN STERILE EYE OINTMENT 0.5%","","SOFRAMYCIN STERILE EYE OINTMENT 0.5% (FRAMYCETIN SULFATE 5MG)","","S01AA07","FRAMYCETIN",""
"02225085","cancelled","CLAFORAN - PWS INJ 500MG/VIAL","","CLAFORAN - PWS INJ 500MG/VIAL (CEFOTAXIME SODIUM 500MG)","","J01DD01","CEFOTAXIME",""
"02225093","cancelled","CLAFORAN - PWS INJ 1.0G/VIAL","","CLAFORAN - PWS INJ 1.0G/VIAL (CEFOTAXIME SODIUM 1G)","","J01DD01","CEFOTAXIME",""
"02225107","cancelled","CLAFORAN - PWS INJ 2.0G/VIAL","","CLAFORAN - PWS INJ 2.0G/VIAL (CEFOTAXIME SODIUM 2G)","","J01DD01","CEFOTAXIME",""
"02225158","cancelled","SUPREFACT","","SUPREFACT (BUSERELIN (BUSERELIN ACETATE) 1MG)","SUPREFACT (BUSERELIN (BUSERELIN ACETATE) 100MCG)","L02AE01","BUSERELIN",""
"02225166","marketed","SUPREFACT","","SUPREFACT (BUSERELIN (BUSERELIN ACETATE) 1MG)","","L02AE01","BUSERELIN",""
"02225174","cancelled","PHL-FLUOXETINE - SOLUTION 20MG/5ML","","PHL-FLUOXETINE - SOLUTION 20MG/5ML (FLUOXETINE (FLUOXETINE HYDROCHLORIDE) 20MG)","","N06AB03","FLUOXETINE","Depression"
"02225182","marketed","LOPERAMIDE-2","","LOPERAMIDE-2 (LOPERAMIDE HYDROCHLORIDE 2MG)","","A07DA03","LOPERAMIDE",""
"02225190","dormant","ESTRACE","","ESTRACE (ESTRADIOL 0.5MG)","","G03CA03","ESTRADIOL",""
"02225263","dormant","OPTIRAY 240","","OPTIRAY 240 (IOVERSOL 51%)","","V08AB07","IOVERSOL",""
"02225271","marketed","BENZAMYCIN","","BENZAMYCIN (BENZOYL PEROXIDE 50MG, ERYTHROMYCIN 30MG)","BENZAMYCIN (BENZOYL PEROXIDE 5%, BENZOYL PEROXIDE 5%, ERYTHROMYCIN 3%, ERYTHROMYCIN 3%)","D10AF52;D10AF52;D10A","ERYTHROMYCIN, COMBINATIONS;ERYTHROMYCIN, COMBINATIONS;ERYTHROMYCIN, COMBINATIONS;ERYTHROMYCIN, COMBINATIONS",""
"02225603","cancelled","CREME BLANCHISSANTE - CRM 2%","","CREME BLANCHISSANTE - CRM 2% (HYDROQUINONE 2%)","","D11AX11","HYDROQUINONE",""
"02225689","marketed","ACTIVASE RT-PA","","ACTIVASE RT-PA (ALTEPLASE 50MG, WATER 50ML)","","B01AD02;B01AD02","ALTEPLASE;ALTEPLASE",""
"02225883","marketed","PROPRANOLOL HYDROCHLORIDE INJECTION USP","","PROPRANOLOL HYDROCHLORIDE INJECTION USP (PROPRANOLOL HYDROCHLORIDE 1MG)","","C07AA05","PROPRANOLOL","Hypertension;Ischemic Heart disease"
"02225905","marketed","ZOLADEX LA INJ DEPOT 10.8MG","ZOLADEX LA","ZOLADEX LA INJ DEPOT 10.8MG (GOSERELIN (GOSERELIN ACETATE) 10.8MG)","ZOLADEX LA (GOSERELIN (GOSERELIN ACETATE) 10.8MG)","L02AE03","GOSERELIN",""
"02225964","dormant","APO-TEMAZEPAM","","APO-TEMAZEPAM (TEMAZEPAM 15MG)","","N05CD07","TEMAZEPAM",""
"02225972","dormant","APO-TEMAZEPAM","","APO-TEMAZEPAM (TEMAZEPAM 30MG)","","N05CD07","TEMAZEPAM",""
"02225980","dormant","APO-FENOFIBRATE","FENOFIBRATE","APO-FENOFIBRATE (FENOFIBRATE 100MG)","FENOFIBRATE (FENOFIBRATE 100MG)","C10AB05","FENOFIBRATE","Ischemic Heart disease"
"02226022","marketed","MYOFLEX EXTRA STRENGTH - CRM 15%","MYOFLEX EXTRA STRENGTH","MYOFLEX EXTRA STRENGTH - CRM 15% (TROLAMINE SALICYLATE 15%)","MYOFLEX EXTRA STRENGTH (TROLAMINE SALICYLATE 15%)","M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES",""
"02226197","dormant","VENOMIL HONEY BEE VENOM (120 MCG)","","VENOMIL HONEY BEE VENOM (120 MCG) (HONEY BEE VENOM PROTEIN 120μG)","VENOMIL HONEY BEE VENOM (120 MCG) (HONEY BEE VENOM PROTEIN 120MCG)","V01AA07","INSECTS",""
"02226219","dormant","VENOMIL WASP VENOM PROTEIN (120MCG)","","VENOMIL WASP VENOM PROTEIN (120MCG) (WASP VENOM PROTEIN 120μG)","VENOMIL WASP VENOM PROTEIN (120MCG) (WASP VENOM PROTEIN 120MCG)","V01AA07","INSECTS",""
"02226235","dormant","VENOMIL WHITE-FACED HORNET VENOM PROTEIN (120MCG)","","VENOMIL WHITE-FACED HORNET VENOM PROTEIN (120MCG) (WHITE FACED HORNET VENOM PROTEIN 120μG)","VENOMIL WHITE-FACED HORNET VENOM PROTEIN (120MCG) (WHITE FACED HORNET VENOM PROTEIN 120MCG)","V01AA07","INSECTS",""
"02226251","dormant","VENOMIL YELLOW HORNET VENOM PROTEIN (120MCG)","","VENOMIL YELLOW HORNET VENOM PROTEIN (120MCG) (YELLOW HORNET VENOM PROTEIN 120μG)","VENOMIL YELLOW HORNET VENOM PROTEIN (120MCG) (YELLOW HORNET VENOM PROTEIN 120MCG)","V01AA07","INSECTS",""
"02226286","dormant","VENOMIL YELLOW JACKET VENOM PROTEIN (120MCG)","","VENOMIL YELLOW JACKET VENOM PROTEIN (120MCG) (YELLOW JACKET VENOM PROTEIN 120μG)","VENOMIL YELLOW JACKET VENOM PROTEIN (120MCG) (YELLOW JACKET VENOM PROTEIN 120MCG)","V01AA07","INSECTS",""
"02226294","dormant","VENOMIL MIXED VESPID VENOM PROTEIN (360MCG)","","VENOMIL MIXED VESPID VENOM PROTEIN (360MCG) (WHITE FACED HORNET VENOM PROTEIN 120μG, YELLOW HORNET VENOM PROTEIN 120μG, YELLOW JACKET VENOM PROTEIN 120μG)","VENOMIL MIXED VESPID VENOM PROTEIN (360MCG) (WHITE FACED HORNET VENOM PROTEIN 120MCG, YELLOW JACKET VENOM PROTEIN 120MCG, YELLOW HORNET VENOM PROTEIN 120MCG)","V01AA07;V01AA07;V01A","INSECTS;INSECTS;INSECTS",""
"02226383","marketed","RATIO-PROCTOSONE","TEVA-PROCTOSONE","RATIO-PROCTOSONE (DIBUCAINE HYDROCHLORIDE 5MG, ESCULIN 10MG, FRAMYCETIN SULFATE 10MG, HYDROCORTISONE (HYDROCORTISONE ACETATE) 5MG)","TEVA-PROCTOSONE (DIBUCAINE HYDROCHLORIDE 0.5%, HYDROCORTISONE (HYDROCORTISONE ACETATE) 0.5%, FRAMYCETIN SULFATE 1%, ESCULIN 1%)","C05AA01;C05AA01;C05A","HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE",""
"02226391","cancelled","RATIO-PROCTOSONE","TEVA-PROCTOSONE","RATIO-PROCTOSONE (DIBUCAINE HYDROCHLORIDE 5MG, ESCULIN 10MG, FRAMYCETIN SULFATE 10MG, HYDROCORTISONE (HYDROCORTISONE ACETATE) 5MG)","TEVA-PROCTOSONE (DIBUCAINE HYDROCHLORIDE 5MG, HYDROCORTISONE (HYDROCORTISONE ACETATE) 5MG, FRAMYCETIN SULFATE 10MG, ESCULIN 10MG)","C05AA01;C05AA01;C05A","HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE;HYDROCORTISONE",""
"02226707","marketed","TOLNAFTATE CREAM USP, 1%","","TOLNAFTATE CREAM USP, 1% (TOLNAFTATE 1%)","","D01AE18","TOLNAFTATE",""
"02226839","cancelled","METROCREAM - CRM 0.75%","","METROCREAM - CRM 0.75% (METRONIDAZOLE .75%)","","D06BX01","METRONIDAZOLE",""
"02226871","cancelled","ACETAMINOPHENE - LIQ 160 MG/5 ML","","ACETAMINOPHENE - LIQ 160 MG/5 ML (ACETAMINOPHEN 160MG)","","N02BE01","ACETAMINOPHEN (PARACETAMOL)",""
"02226898","cancelled","ACETAMINOPHENE - LIQ 80 MG/ML","","ACETAMINOPHENE - LIQ 80 MG/ML (ACETAMINOPHEN 80MG)","","N02BE01","ACETAMINOPHEN (PARACETAMOL)",""
"02226928","dormant","ALLERGENIC EXTRACT - POLLENS","","ALLERGENIC EXTRACT - POLLENS (POLLEN 40000UNIT)","","V01AA20","VARIOUS",""
