"input","match","din/npn","dtc","ahfs","database","pres","type","both"
"century complete","CENTURY COMPLETE","02232446","A11AA03","88:28.01","drug","","direct","yes"
"century silver","CENTURY SILVER","02234265","A11AA03","88:28.01","drug","","direct","yes"
"cetirizine","CETIRIZINE","02375087","R06AE07","04:08.00","drug","","direct","no"
"cetirizine","CETIRIZINE","02375087","R06AE07","04:08.00","drug","NO","direct","no"
"Chaste Tree","Chaste Tree","80027133","","","natural","","direct",""
"Chastetree tincture","Chastetree Tincture","80023446","","","natural","","direct",""
"chewable multivitamin","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"chewable vitamin c","Chewable Vitamin C","80002463","","","natural","","direct",""
"chia seeds","Chia Seeds 15 G","80036201","","","natural","","direct",""
"chlorella","Chlorella","80039646","","","natural","NO","direct",""
"chlorthalidone 25 mg","CHLORTHALIDONE","00360279","C03BA04","40:28.24","drug","","word","no"
"cholesterol medication zocor","ZOCOR","00884332","C10AA01","24:06.08","drug","","word","no"
"chromium","CHROMIUM","02241202","A12CX","88:29.00","drug","","direct","yes"
"chromium 500mcg","Chromium 500mcg","80012641","","","natural","","direct",""
"chromium picolinate","Chromium Picolinate","80015673","","","natural","","direct",""
"ci-cal D 400","Ci-Cal D 400","80000281","","","natural","","direct",""
"Ci-Cal D 400","Ci-Cal D 400","80000281","","","natural","YES","direct",""
"cinnamon 150mg","Cinnamon","80038183","","","natural","","word",""
"cinnamon extract","Cinnamon Extract","80007364","","","natural","","direct",""
"cipralex 10 mg","CIPRALEX -10MG","02263238","N06AB10","28:16.04.20","drug","","simple","no"
"cipralex 10mg","CIPRALEX -10MG","02263238","N06AB10","28:16.04.20","drug","","simple","no"
"ciprofloxacin","CIPROFLOXACIN","02345161","J01MA02","08:12.18","drug","","direct","no"
"citalopram","CITALOPRAM","02284847","N06AB04","28:16.04.20","drug","","direct","no"
"Citalopram hydrobromide","CITALOPRAM","02284847","N06AB04","28:16.04.20","drug","","word","no"
"CLA","Cla","80015978","","","natural","","direct",""
"claritin","CLARITIN","00782696","R06AX13","04:08.00","drug","NO","direct","no"
"claritin","CLARITIN","00782696","R06AX13","04:08.00","drug","","direct","no"
"clear sleep tablet","CLEAR","02306913","V07AV","38:00.00","drug","NO","word","yes"
"Clonazepam","CLONAZEPAM","02344602","N03AE01","28:12.08","drug","","direct","no"
"clonidine","CLONIDINE","02361299","C02AC01","24:08.16","drug","","direct","no"
"CLOPIDOGREL 75 MG","CLOPIDOGREL","02385813","B01AC04","20:12.18","drug","","word","no"
"clopidogrel 75mg","CLOPIDOGREL","02385813","B01AC04","20:12.18","drug","","word","no"
"co enzyme Q10","Co Enzyme Q10","80006451","","","natural","","direct",""
"co latanoprost","LATANOPROST","02375508","S01EE01","52:40.28","drug","","word","no"
"co q 10","Co Q 10","80059577","","","natural","","direct",""
"Co Q-10","Co Q-10","80056083","","","natural","","direct",""
"co q10","Co Q10","80035523","","","natural","","direct",""
"co raloxifene","RALOXIFENE","02415852","G03XC01","68:16.12","drug","","word","no"
"Co repaglinide","REPAGLINIDE","02415968","A10BX02","68:20.16","drug","","word","no"
"Co-enzyme Q-10","CO-ENZYME Q-10","02165147","C01EB09","88:30.00","drug","","direct","yes"
"Co-Enzyme Q10","Co-Enzyme Q10","80001907","","","natural","","direct",""
"Co-Op Multi-Vitamins","MULTI-VITAMINS","02241008","A11BA","88:28.00","drug","","word","yes"
"coconut oil","Coconut Oil","80040686","","","natural","NO","direct",""
"cod liver","Liver","80022753","","","natural","","word",""
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","","direct","yes"
"Cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","NO","direct","yes"
"cod liver oil 1500mg","COD LIVER OIL","00179957","A11CB","88:04.01","drug","","word","yes"
"cod liver oil 20 minims","Cod Liver Oil Capsules 20 Minims","00305146","","","natural","","direct",""
"cod liver oil 500mg","COD LIVER OIL","00179957","A11CB","88:04.01","drug","NO","word","yes"
"codeine 30 mg","CODEINE 30","02009757","R05DA04","28:08.08","drug","","word","no"
"Coenzyme B complex","B Complex","02239815","","","natural","","word",""
"Coenzyme Q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","","direct","yes"
"Coenzyme Q10   150mg","COENZYME Q10","02229620","C01EB09","88:30.00","drug","","word","yes"
"cold fx","Cold-Fx","80002849","","","natural","","simple",""
"cold fx","Cold-Fx","80002849","","","natural","NO","simple",""
"Cold FX Extra","Extra","80062086","","","natural","","word",""
"Cold-FX","Cold-Fx","80002849","","","natural","","direct",""
"collagen","Collagen","80028920","","","natural","","direct",""
"collagen 500 et 400 mg","Collagen","80028920","","","natural","","word",""
"collagene","Collagène","80069771","","","natural","","direct",""
"colon health","Qualitylab Colon Gold","80060117","","","natural","","direct",""
"Complete Probiotic","Complete Probiotic","80011612","","","natural","","direct",""
"Complete Probiotics","COMPLETE","02427559","N02BE51","48:08.00","drug","","word","yes"
"complex b 100","Balanced B Complex 100 Timed Release Tablets","02243425","","","natural","","word",""
"ConcenTrace - multi-mineral","Concentrace","80036803","","","natural","","word",""
"Concentrated Tart Cherry Juice","Tart Cherry","80068957","","","natural","","word",""
"Conjugated estrogen","Estro Support Formula","80046175","","","natural","","word",""
"conjugated linoleic acid 1000mg","Conjugated Linoleic Acid 1000mg","80043823","","","natural","","direct",""
"CoQ-10","COQ-10","02240715","C01EB09","88:30.00","drug","","direct","yes"
"CoQ10","COQ10","00833290","C01EB09","88:30.00","drug","","direct","yes"
"Coral Calcium","CORAL CALCIUM","02247680","A12AA04","88:29.00","drug","","direct","yes"
"Cortef","Cortef","02239384","","","natural","","direct",""
"cortisone cream","Cortisone","80016415","","","natural","","word",""
"Cortrex","Cortrex","02231921","","","natural","","direct",""
"Costco Senior Multivitamin","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"cough medicine","Cough Medicine","00392022","","","natural","NO","direct",""
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","","direct","no"
"Coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","YES","direct","no"
"coversall plus","Plus","80039392","","","natural","","word",""
"Coversil Plus","Plus","80039392","","","natural","","word",""
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","NO","direct","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","","direct","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","YES","direct","no"
"coversyl 4mg","COVERSYL","02123282","C09AA04","24:32.04","drug","","word","no"
"Coversyl 8mg","COVERSYL","02123282","C09AA04","24:32.04","drug","","word","no"
"coversyl hd","COVERSYL","02123282","C09AA04","24:32.04","drug","","word","no"
"Coversyl Plus4","COVERSYL","02123282","C09AA04","24:32.04","drug","","word","no"
"Cozaar","COZAAR","02182815","C09CA01","24:32.08","drug","","direct","no"
"cran plus","Plus","80039392","","","natural","","word",""
"Cranberry","Cranberry","80000286","","","natural","","direct",""
"cranberry 4200mg with vitamin c","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"Cranberry capsules","Cranberry Capsules","80011830","","","natural","","direct",""
"Cranberry Complex","Cranberry Complex","80054325","","","natural","","direct",""
"cranberry concentrate","Cranberry Concentrate","80004610","","","natural","","direct",""
"cranberry extract","Cranberry Extract","80001609","","","natural","","direct",""
"cranberry pill","Cranberry","80000286","","","natural","","word",""
"cranberry pills","Cranberry","80000286","","","natural","","word",""
"cranberry supplement","Cranberry","80000286","","","natural","","word",""
"Cranberry with Vit C","Cranberry","80000286","","","natural","","word",""
"creatine","Creatine","80008844","","","natural","","direct",""
"crestor 10 mg","CRESTOR - 10MG","02247162","C10AA07","24:06.08","drug","","simple","no"
"Crestor 20 mg","CRESTOR - 20MG","02247163","C10AA07","24:06.08","drug","","simple","no"
"crestor 5 mg","CRESTOR - 5MG","02265540","C10AA07","24:06.08","drug","","simple","no"
"CRESTOR 5MG","CRESTOR - 5MG","02265540","C10AA07","24:06.08","drug","","simple","no"
"Critical omega","Critical Omega","80033239","","","natural","","direct",""
"curcuma et bromeline","Curcuma","80001147","","","natural","","word",""
"Curcumin","Curcumin","80020741","","","natural","","direct",""
"Customized Multivitamins","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","","word","yes"
"Cyclosporine","CYCLOSPORINE","02334763","L04AD01","92:44.00","drug","YES","direct","no"
"cymbalta","CYMBALTA","02301482","N06AX21","28:16.04.16","drug","","direct","no"
"Cyolic Aged Garlic Extract","GARLIC","02230334","","92:01.00","drug","","word","yes"
"cyto matrix multi-strain 11 advanced probiotic formula","PROBIOTIC","02172909","A07FA01","56:08.00","drug","NO","word","yes"
"cytozyme-ad","Cytozyme Ad","80038191","","","natural","","simple",""
"D","Vitamin D 1000 Iu","80000131","","","natural","","direct",""
"D","Vitamin D 1000 Iu","80000131","","","natural","NO","direct",""
"D GEL","D GEL","02233315","","92:02.00","drug","YES","direct","no"
"D-CAL","D-Cal","80021724","","","natural","","direct",""
"D-Cal 500 mg 400 UI","D-Cal","80021724","","","natural","","word",""
"d-gel","D GEL","02233315","","92:02.00","drug","","simple","no"
"D-GEL 1000","D-Gel 1000","80007766","","","natural","","direct",""
"D-Gel 1000 ui","D-Gel 1000","80007766","","","natural","","word",""
"D-mannose powder","D-Mannose Powder","80061215","","","natural","","direct",""
"D3","D3","80006299","","","natural","","direct",""
"d3","D3","80006299","","","natural","NO","direct",""
"daily -one multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"daily low dose ASA","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","","word",""
"Daily Low Dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","word","no"
"daily low dose aspirin","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","","word",""
"daily multi-vitamin for women 50+ (compliments brand)","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"daily multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Daily One 50+ Multi Vitamin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"dairy digestive supplement","Dairy Digestive","02239139","","","natural","","direct",""
"Ddrops","Ddrops","80001792","","","natural","","direct",""
"DHA","Dha","80024137","","","natural","","direct",""
"diamicron","DIAMICRON","00765996","A10BB09","68:20.20","drug","","direct","no"
"diamicron mr","DIAMICRON MR","02242987","A10BB09","68:20.20","drug","","direct","no"
"diarreah relief","Relief","80051410","","","natural","","word",""
"diatomaceous earth","Diatomaceous Earth","80072572","","","natural","NO","direct",""
"Didrocal","DIDROCAL","02176017","M05BB01","92:24.00","drug","","direct","no"
"diem brand glucosame, chondroitin and msm","Chondroitin","80001847","","","natural","NO","word",""
"Digest Gold","Digest Gold","80056878","","","natural","","direct",""
"digestive advantage","Digestive","80030195","","","natural","","word",""
"digestive enzemes","Digestive","80030195","","","natural","","word",""
"digestive enzymes","DIGESTIVE ENZYMES","02236927","A09AC02","56:16.00","drug","","direct","yes"
"DIN 02237656 ferrous fumarate","AVON CLEARSKIN OVERNIGHT ACNE TREATMENT","02237656","D02AF","84:28.00","drug","","code","no"
"DIN 2374420 APO-ANASTROZOLE","APO-ANASTROZOLE","02374420","L02BG03","10:00.00","drug","","code","no"
"DIN 545031 Apo-Ferrous Gluconate  300(35) mg","Apo-Ferrous Gluconate","00545031","","","natural","","code",""
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","","direct","no"
"Diovan - HCT","DIOVAN","02270528","C09CA03","24:32.08","drug","","word","no"
"DIOVAN 40MG","DIOVAN","02270528","C09CA03","24:32.08","drug","","word","no"
"Diovan 80 mg","DIOVAN","02270528","C09CA03","24:32.08","drug","","word","no"
"diovan hct","DIOVAN","02270528","C09CA03","24:32.08","drug","","word","no"
"diphenhydramine hydrochloride","DIPHENHYDRAMINE","02249529","R06AA02","04:04.04","drug","","word","no"
"ditropan xl","DITROPAN XL","02259117","G04BD04","86:12.04","drug","","direct","no"
"DitropanXL","DITROPAN XL","02259117","G04BD04","86:12.04","drug","","simple","no"
"divarius mesilate de paroxetine","PAROXETINE","02248450","N06AB05","28:16.04.20","drug","","word","no"
"DMSA","DMSA","NULL","","","drug","","direct","no"
"dom atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"dom citalopram","CITALOPRAM","02284847","N06AB04","28:16.04.20","drug","","word","no"
"dom rosuvastatin","ROSUVASTATIN","02381176","C10AA07","24:06.08","drug","","word","no"
"dom zopiclone","ZOPICLONE","02282445","N05CF01","28:24.92","drug","","word","no"
"Dom-Quetiapine","DOM-QUETIAPINE","02298996","N05AH04","28:16.08.04","drug","","direct","no"
"Domperidone","DOMPERIDONE","02238341","A03FA03","56:32.00","drug","","direct","no"
"dorzolamide","DORZOLAMIDE","02364999","S01EC03","52:40.12","drug","","direct","no"
"Double X (multivitamin)","DOUBLE X","02244249","A11AA03","88:28.01","drug","","word","no"
"dried ginger","GINGER","02240785","","92:01.00","drug","NO","word","yes"
"Dry Eye Omega","Oméga","80060745","","","natural","","word",""
"easy sleep","Sleep","80031734","","","natural","","word",""
"echinacea","ECHINACEA","02232056","","92:02.00","drug","","direct","yes"
"echinacea","ECHINACEA","02232056","","92:02.00","drug","NO","direct","yes"
"echinacea 2100mg","ECHINACEA","02232056","","92:02.00","drug","","word","yes"
"echinacea 300mg","ECHINACEA","02232056","","92:02.00","drug","","word","yes"
"echinacea purpurea","ECHINACEA PURPUREA","02232474","","92:02.00","drug","","direct","yes"
"Echinacée","ECHINACEE","02239424","","92:01.00","drug","","direct","yes"
"Echinamide (Anti-Viral) (Natural Factors)","Echinamide","80022628","","","natural","","word",""
"Effexor-XR","EFFEXOR XR","02237279","N06AX16","28:16.04.16","drug","","simple","no"
"ega 3 et vitamine D","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"ELMIRON 100MG","ELMIRON","02029448","C05BA04","92:00.00","drug","","word","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","","direct","no"
"Eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","YES","direct","no"
"eltroxin 0.125 mg","ELTROXIN","02213192","H03AA01","68:36.04","drug","","word","no"
"eltroxin 0.15","ELTROXIN","02213192","H03AA01","68:36.04","drug","","word","no"
"emtrix","Emtrix","80032726","","","natural","NO","direct",""
"enablex","ENABLEX","02273217","G04BD10","86:12.04","drug","","direct","no"
"enalapril 10 mg","ENALAPRIL","02343460","C09AA02","24:32.04","drug","","word","no"
"Enbrel 50mg","ENBREL","02242903","L04AB01","92:36.00","drug","","word","no"
"Enerex Memoria","Memoria","80036985","","","natural","NO","word",""
"Ensure - High Protein","Protein","80057932","","","natural","","word",""
"ensure plus","Plus","80039392","","","natural","","word",""
"Enteric Coated ASA","ENTERIC COATED A.S.A","02264706","N02BA01","28:08.04.24","drug","YES","simple","no"
"entex la","ENTEX LA","02231572","R05CA10","48:16.00","drug","NO","direct","no"
"entrophen","ENTROPHEN","02242281","B01AC06","28:08.04.24","drug","","direct","no"
"epival 750 mg","EPIVAL","00596418","N03AG01","28:12.92","drug","","word","no"
"epuration totale des reins","Reins","80003473","","","natural","","word",""
"Equate","Life Blackhead Clearing Astringent","80004428","","","natural","","direct",""
"equate - regulateur de l"acidite","Life Blackhead Clearing Astringent","80004428","","","natural","","word",""
"Equate antihistamine","Life Blackhead Clearing Astringent","80004428","","","natural","","word",""
"equate brand vitamin e","VITAMIN E","02231214","A11HA03","88:20.00","drug","","word","yes"
"Erythromycin cream","ERYTHROMYCIN","02282712","","","drug","","word","no"
"essentials for women","Essentials For Women","80029695","","","natural","","direct",""
"ester c","ESTER C","02153971","A11GA01","88:12.00","drug","","direct","yes"
"Ester-C","ESTER-C","02233239","A11GA01","88:12.00","drug","NO","direct","yes"
"Ester-C  1000 mg","ESTER-C","02233239","A11GA01","88:12.00","drug","","word","yes"
"Ester-C (Vit C)","ESTER-C","02233239","A11GA01","88:12.00","drug","NO","word","yes"
"estrace","ESTRACE","02148595","G03CA03","68:16.04","drug","","direct","no"
"Estrace 0.5mg","ESTRACE","02148595","G03CA03","68:16.04","drug","","word","no"
"estradiol","ESTRADIOL","02451239","G03CA03","68:16.04","drug","YES","direct","no"
"estradiol hemihydrate","ESTRADIOL","02451239","G03CA03","68:16.04","drug","","word","no"
"ESTRADOT 25 (ESTRADIOL 0.025MG)/24h timbre","ESTRADOT 25","02245676","G03CA03","68:16.04","drug","YES","word","no"
"estragyn vaginal cream","ESTRAGYN VAGINAL CREAM","00727369","G03CA07","68:16.04","drug","YES","direct","no"
"estrogel","ESTROGEL","02238704","G03CA03","68:16.04","drug","","direct","no"
"estrogel 0.06% 80 g","ESTROGEL","02238704","G03CA03","68:16.04","drug","","word","no"
"Estrogel estrogen)","ESTROGEL","02238704","G03CA03","68:16.04","drug","","word","no"
"Estrogen","Estro Support Formula","80046175","","","natural","","direct",""
"estrogen and progesterone","Estro Support Formula","80046175","","","natural","","word",""
"estrogen cream","Estro Support Formula","80046175","","","natural","","word",""
"estrogen gel","Estro Support Formula","80046175","","","natural","","word",""
"estrogen patch","Estro Support Formula","80046175","","","natural","","word",""
"EURO CAL","Eurocal","02237352","","","natural","YES","simple",""
"euro cal","Eurocal","02237352","","","natural","","simple",""
"euro cal 500 mg","Euro Cal 500","80002981","","","natural","","word",""
"euro d 1000","Euro D 1000","80003707","","","natural","","direct",""
"euro ferrous sulfate","Ferrous Sulfate","80043047","","","natural","","word",""
"euro k 20","Euro K 20","02242261","","","natural","","direct",""
"euro-cal","Eurocal","02237352","","","natural","","simple",""
"Euro-Fer","Euro-Fer","02237556","","","natural","","direct",""
"Euro-Fer 300mg","Euro-Fer","02237556","","","natural","","word",""
"euro-fer iron supplement 300mg","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Eurofer","Eurofer","80004799","","","natural","","direct",""
"evening primrose oil","EVENING PRIMROSE OIL","02241144","V06DX","88:30.00","drug","","direct","yes"
"Evening Primrose Oil 500mg","EVENING PRIMROSE OIL 500MG","02181266","","88:30.00","drug","","direct","yes"
"every woman new chapter multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Exact brand multivitamin for adults","MULTIVITAMIN","02236800","","","drug","","word","yes"
"exact brand valvium with vitamin d","VITAMIN D","02241564","A11CC","88:16.00","drug","YES","word","yes"
"exact brand vitamin d","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"exact brand vitamin d","VITAMIN D","02241564","A11CC","88:16.00","drug","NO","word","yes"
"exact chewable vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"Exact Vitamin D","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"exact vitamin d 1000 iu","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"exelon","EXELON","02242116","N06DA03","12:04.00","drug","","direct","no"
"experience","Experience","80025493","","","natural","","direct",""
"extra strength allergy sinius medication","ALLERGY","02320789","R06AA02","04:04.04","drug","","word","no"
"Extra Strength Tylenol","EXTRA STRENGTH TYLENOL","02289989","N02BE01","28:08.92","drug","","direct","no"
"extra strength tylenol","EXTRA STRENGTH TYLENOL","02289989","N02BE01","28:08.92","drug","NO","direct","no"
"extrait de canneberge","Canneberge","80009089","","","natural","","word",""
"eye care formula","Eye Care Formula","80057356","","","natural","","direct",""
"eye drops fro glaucoma","EYE DROPS","02213001","S01GA02","52:32.00","drug","","word","no"
"Eye Health Multivitamin","Eye Health Multivitamin","80009673","","","natural","","direct",""
"eye omega","Oméga","80060745","","","natural","","word",""
"ezetimibe","EZETIMIBE","02422549","C10AX09","24:06.05","drug","","direct","no"
"Ezetrol 10 mg","EZETROL","02247521","C10AX09","24:06.05","drug","","word","no"
"fenofibrat supra","Resource","80033227","","","natural","","word",""
"fenouil","Fenouil","80015575","","","natural","NO","direct",""
"fer","Fer","80021473","","","natural","","direct",""
"feramax 150","Feramax 150","80013210","","","natural","","direct",""
"Feramax 150","Feramax 150","80013210","","","natural","YES","direct",""
"fermented cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","","word","yes"
"ferrous fumarate","Ferrous Fumarate","00031089","","","natural","","direct",""
"ferrous fumarate","Ferrous Fumarate","00031089","","","natural","YES","direct",""
"ferrous fumarate  iron","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Ferrous Fumarate (Life brand) NPN 02247018","Ferrous Fumarate 200 Mg Tablets Usp","02247018","","","natural","","code",""
"Ferrous fumarate 300mg","Ferrous Fumarate","00031089","","","natural","","word",""
"Ferrous gluconate","FERROUS GLUCONATE","02245389","B03AA03","20:04.00","drug","","direct","yes"
"Ferrous Gluconate 300 mg","Ferrous Gluconate 300 Mg","80006316","","","natural","","direct",""
"ferrous gluconate 300mg","FERROUS GLUCONATE","02245389","B03AA03","20:04.00","drug","","word","yes"
"ferrous gluconate iron","Iron","80002426","","","natural","YES","direct",""
"ferrous gluconate iron","Iron","80002426","","","natural","","direct",""
"ferrous sulfate","Ferrous Sulfate","80043047","","","natural","NO","direct",""
"ferrous sulfate","Ferrous Sulfate","80043047","","","natural","","direct",""
"ferrous sulfate 300 mg","Ferrous Sulfate 300 Mg","00782114","","","natural","","direct",""
"ferrous sulfate 300mg","Ferrous Sulfate","80043047","","","natural","YES","word",""
"Ferrous Sulfate Iron","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Fibre Laxative","FIBRE LAXATIVE","02243451","A06AC01","56:12.00","drug","NO","direct","yes"
"finacea","FINACEA","02270811","D10AX03","84:92.00","drug","YES","direct","no"
"fiorinal","FIORINAL","00226327","N02BA71","28:08.04.24","drug","","direct","no"
"fish oil","Fish Oil","80000846","","","natural","NO","direct",""
"Fish oil","Fish Oil","80000846","","","natural","","direct",""
"Fish Oil  1000 mg","Fish Oil","80000846","","","natural","","word",""
"Fish Oil Blend","Fish Oil","80000846","","","natural","","word",""
"fish oil capsules","Fish Oil","80000846","","","natural","","word",""
"fish oil complex","Fish Oil","80000846","","","natural","","word",""
"fish oil with vitamin D","Fish Oil With Vitamin D","80024089","","","natural","","direct",""
"fish oils","Fish Oils","80028424","","","natural","","direct",""
"fishoil","Fish Oil","80000846","","","natural","","simple",""
"flax oil","Flax Oil","80001961","","","natural","NO","direct",""
"flax oil","Flax Oil","80001961","","","natural","","direct",""
"flax seed","Flax Seed","80026911","","","natural","","direct",""
"flax seed","Flax Seed","80026911","","","natural","NO","direct",""
"flax seed oil","FLAX SEED OIL","02240935","V06DB","88:30.00","drug","","direct","yes"
"Flaxseed Oil","Flaxseed Oil","80000134","","","natural","NO","direct",""
"flaxseed oil","Flaxseed Oil","80000134","","","natural","","direct",""
"Flaxseed Oil 1000 mg","Flaxseed Oil 1000 Mg","80000382","","","natural","","direct",""
"flex-o-flex gluco","Flex-O-Flex Gluco","80000916","","","natural","","direct",""
"flex-o-flex- chondrin","Flex-O-Flex Chondrin","80001547","","","natural","","simple",""
"flomax","FLOMAX","02238123","G04CA02","12:16.04.12","drug","","direct","no"
"flomax","FLOMAX","02238123","G04CA02","12:16.04.12","drug","YES","direct","no"
"Flomax cr","FLOMAX CR","02270102","G04CA02","12:16.04.12","drug","","direct","no"
"flonase nasal spray","NASAL SPRAY","02233407","","92:02.00","drug","","word","no"
"flor.essence","Flor-Essence","80035222","","","natural","","simple",""
"Floradix","Floradix Formula","02242012","","","natural","","direct",""
"Floradix  - Liquid Iron","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Floradix Formula Liquid Iron and Vitamins","IRON","02049732","B03AE10","88:29.00","drug","YES","word","yes"
"Florasil","Florasil","02242452","","","natural","","direct",""
"Florastor","Florastor","80013321","","","natural","","direct",""
"floravit iron","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Flovent diskus","FLOVENT DISKUS","02237244","R03BA05","68:04.00","drug","","direct","no"
"Flovent HFA","FLOVENT HFA","02244291","R03BA05","68:04.00","drug","","direct","no"
"flovent hfa spray","FLOVENT HFA","02244291","R03BA05","68:04.00","drug","","word","no"
"Flow Max","Diuretic","80064621","","","natural","","word",""
"flush free niacin","Flush Free Niacin","80032279","","","natural","","direct",""
"Flush-free niacin","Niacin","02164256","","","natural","","word",""
"Folic acid","FOLIC ACID","02240313","B03BB01","88:08.00","drug","","direct","yes"
"folic acid","FOLIC ACID","02240313","B03BB01","88:08.00","drug","NO","direct","yes"
"Folic Acid 1 mg","FOLIC ACID 1 MG","02248692","B03BB01","88:08.00","drug","","direct","yes"
"folic acid 1mg","FOLIC ACID 1MG","02068117","B03BB01","88:08.00","drug","","direct","yes"
"food source vitamin e","VITAMIN E","02231214","A11HA03","88:20.00","drug","","word","yes"
"Formen","Formen","80033300","","","natural","","direct",""
"formula  forte men","Forte","80066882","","","natural","NO","word",""
"formula forte for men","FOR MEN","02240797","A11JB","88:28.01","drug","","word","no"
"Formula Forte for Men mulivitamin","FOR MEN","02240797","A11JB","88:28.01","drug","NO","word","no"
"formula forte men","Formula Forte Men","80057607","","","natural","","direct",""
"Formula Forte Senior","Formula Forte Senior","80057608","","","natural","","direct",""
"Formula Forte Senior multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"formula forte women","Formula Forte Women","80055013","","","natural","","direct",""
"Formule forte Hommes multivitamines","MULTIVITAMINES","02237421","","88:28.00","drug","","word","yes"
"forteo","FORTEO","02254689","H05AA02","68:24.00","drug","","direct","no"
"framework","Framework","80028821","","","natural","NO","direct",""
"Froben","FROBEN","02223066","M01AE09","28:08.04.92","drug","","direct","no"
"gaba penten","Gaba","80039343","","","natural","","word",""
"Garcinia Cambogia","Garcinia Cambogia","80042168","","","natural","","direct",""
"Garlic","GARLIC","02230334","","92:01.00","drug","","direct","yes"
"garlic","GARLIC","02230334","","92:01.00","drug","YES","direct","yes"
"garlic","GARLIC","02230334","","92:01.00","drug","NO","direct","yes"
"Garlic 500mg","GARLIC","02230334","","92:01.00","drug","","word","yes"
"garlic extract","Garlic Extract","80009867","","","natural","","direct",""
"GB-40 Yuan Source","Gb-40 Yuan Source","80042669","","","natural","NO","direct",""
"Gelules liquide de calciumi avec vitamine D 600mg 500ui","VITAMINE D","02136872","A11CC","88:16.00","drug","NO","word","yes"
"genacol","Genacol","80022455","","","natural","","direct",""
"genacol plus","Genacol Plus","80016093","","","natural","","direct",""
"general multivitamin","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"generic form of crestor","Pmk 051 Diuretic","80037357","","","natural","","word",""
"gingko biloba","Gingko Biloba","80006255","","","natural","","direct",""
"ginkgo","GINKGO","02232059","","92:02.00","drug","","direct","yes"
"ginkgo biloba","GINKGO BILOBA","02233146","","92:02.00","drug","","direct","yes"
"GINKGO-PS","Ginkgo-Ps","80021770","","","natural","","direct",""
"Ginseng","Ginseng","80030768","","","natural","","direct",""
"ginseng adrien  gagnon","Ginseng","80030768","","","natural","YES","word",""
"gliclazide","GLICLAZIDE","02287072","A10BB09","68:20.20","drug","","direct","no"
"Global greens 4.25 gms","Greens","80025575","","","natural","","word",""
"glucophage","GLUCOPHAGE","02099233","A10BA02","68:20.04","drug","","direct","no"
"Glucosamin & Chondroitin","Chondroitin","80001847","","","natural","","word",""
"glucosamin and chondroitin","Chondroitin","80001847","","","natural","","word",""
"Glucosamin Chondroitin MSM","Chondroitin","80001847","","","natural","NO","word",""
"Glucosamine","Glucosamine","80000334","","","natural","","direct",""
"glucosamine","Glucosamine","80000334","","","natural","NO","direct",""
"GLUCOSAMINE  SULFATE 500MG","Glucosamine","80000334","","","natural","NO","word",""
"glucosamine 1000mg","Glucosamine","80000334","","","natural","","word",""
"Glucosamine 1500 mg","Glucosamine 1500 Mg","80064199","","","natural","","direct",""
"glucosamine 30 mg","Glucosamine","80000334","","","natural","","word",""
