"input","match","database","type","matches","both"
"Magnesium Citrate","MAGNESIUM CITRATE","drug","direct","1","yes"
"marvelon 21","MARVELON 21","drug","direct","1","no"
"mavik","MAVIK","drug","direct","1","no"
"Mavik","MAVIK","drug","direct","1","no"
"Mavik","MAVIK","drug","direct","1","no"
"Mavik","MAVIK","drug","direct","1","no"
"Mavik","MAVIK","drug","direct","1","no"
"mavik","MAVIK","drug","direct","1","no"
"mavik","MAVIK","drug","direct","1","no"
"mavik","MAVIK","drug","direct","1","no"
"Mavik","MAVIK","drug","direct","1","no"
"Mavik","MAVIK","drug","direct","1","no"
"meloxicam","MELOXICAM","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"metformin","METFORMIN","drug","direct","1","no"
"Metformin","METFORMIN","drug","direct","1","no"
"Methadose","METHADOSE","drug","direct","1","no"
"methotrexate","METHOTREXATE","drug","direct","1","no"
"metoprolol","METOPROLOL","drug","direct","1","no"
"metoprolol","METOPROLOL","drug","direct","1","no"
"metoprolol","METOPROLOL","drug","direct","1","no"
"Metoprolol","METOPROLOL","drug","direct","1","no"
"Metoprolol","METOPROLOL","drug","direct","1","no"
"Metoprolol","METOPROLOL","drug","direct","1","no"
"Metoprolol","METOPROLOL","drug","direct","1","no"
"Metoprolol","METOPROLOL","drug","direct","1","no"
"METOPROLOL","METOPROLOL","drug","direct","1","no"
"Metoprolol","METOPROLOL","drug","direct","1","no"
"metronidazole","METRONIDAZOLE","drug","direct","1","no"
"Metronidazole","METRONIDAZOLE","drug","direct","1","no"
"Micardis Plus","MICARDIS PLUS","drug","direct","1","no"
"Micardis Plus","MICARDIS PLUS","drug","direct","1","no"
"micardis plus","MICARDIS PLUS","drug","direct","1","no"
"Micardis Plus","MICARDIS PLUS","drug","direct","1","no"
"Milk Thistle","MILK THISTLE","drug","direct","1","yes"
"Milk Thistle","MILK THISTLE","drug","direct","1","yes"
"Milk Thistle","MILK THISTLE","drug","direct","1","yes"
"Milk thistle","MILK THISTLE","drug","direct","1","yes"
"milk thistle","MILK THISTLE","drug","direct","1","yes"
"milk thistle","MILK THISTLE","drug","direct","1","yes"
"milk thistle","MILK THISTLE","drug","direct","1","yes"
"milk thistle","MILK THISTLE","drug","direct","1","yes"
"moduret","MODURET","drug","direct","1","no"
"multi","MULTI","drug","direct","1","yes"
"multi","MULTI","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MultiVitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MultiVitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MultiVitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MultiVitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MultiVitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MultiVitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"MULTIVITAMIN","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin","MULTIVITAMIN","drug","direct","1","yes"
"Multivitamin and mineral","MULTIVITAMIN AND MINERAL","drug","direct","1","yes"
"Multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"Multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamine","MULTIVITAMINE","drug","direct","1","no"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"Multivitamines","MULTIVITAMINES","drug","direct","1","yes"
"Multivitamins","MULTIVITAMINS","drug","direct","1","yes"
"multivitamins","MULTIVITAMINS","drug","direct","1","yes"
"Multivitamins","MULTIVITAMINS","drug","direct","1","yes"
